platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type,start_date,end_date,year,week_number
twitch,sasatikk,sasatikk,67519684,769802,28014,8765,5270,6467,,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/46df8e2c-2304-440c-994a-1f131f29c469-profile_image-300x300.png,JP,ja,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,deshaefrost,DeshaeFrost,687186861,752990,22612,4526,9985,55486,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/7d1df2bc-3627-4fc1-ba51-26190738d6f3-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,summit1g,summit1g,26490481,749609,15356,8907,5050,-363,,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,bratishkinoff,bratishkinoff,99899949,732563,44712,18987,2315,15870,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/ababebac-f06f-40e7-b19c-2436b9311c1a-profile_image-300x300.png,RU,ru,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,xqc,xQc,71092938,720979,39084,23511,1840,331,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-300x300.jpeg,CA,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,dariomocciatwitch,DarioMocciaTwitch,53065331,720628,18107,8462,5110,3671,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/73633088-8b11-4dad-b4ae-065f64f3a585-profile_image-300x300.png,IT,it,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,yogscast,Yogscast,20786541,713982,15636,4436,9660,3357,1450081,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/29532548-dedd-4898-84cb-62782f64ef30-profile_image-300x300.png,UK,en,partner,Organization,2024-12-02,2024-12-08,2024,49
twitch,bastighg,BastiGHG,38121996,654678,88507,15936,2465,11763,740340,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/865826b7-35e7-47be-9bb8-aff3be1fa08f-profile_image-300x300.png,DE,de,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,baiano,Baiano,140772558,640977,33715,3841,10015,3464,,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/05396d4d-7af0-4b9b-8c7e-c03563b4d448-profile_image-300x300.png,BR,pt,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,humility,Humility,84240904,637326,33621,8369,4570,15929,,Dofus,https://static-cdn.jtvnw.net/jtv_user_pictures/39cee30f-af84-41ff-b963-35c40b432ee4-profile_image-300x300.png,FR,fr,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,rocketbaguette,RocketBaguette,139027213,619632,92951,19724,1885,12778,2591302,Rocket League,https://static-cdn.jtvnw.net/jtv_user_pictures/6019724d-4158-4cc9-bd03-75d67960be48-profile_image-300x300.png,FR,fr,partner,Organization,2024-12-02,2024-12-08,2024,49
twitch,thebausffs,Thebausffs,93869876,612414,63400,20938,1755,10892,595531,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/04c65db8-ef62-4fb5-8cff-09f0521de151-profile_image-300x300.png,SE,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,strogo,StRoGo,233741947,604733,52805,15811,2295,24057,,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/8a9c0603-7ff0-4189-bdc1-3072029a613d-profile_image-300x300.png,RU,ru,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,shroud,shroud,37402112,601786,33231,9428,3830,4026,,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-300x300.png,CA,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,emiru,Emiru,91067577,592511,31591,20975,1695,9409,,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/c9f74581-c0e8-4638-8629-51dbfe401335-profile_image-300x300.png,US,en,partner,Female,2024-12-02,2024-12-08,2024,49
twitch,dakillzor,Dakillzor,25722719,583693,7539,3498,10015,4987,,World of Tanks,https://static-cdn.jtvnw.net/jtv_user_pictures/ba5e4714-b7dd-43f5-9c62-df0c91647482-profile_image-300x300.png,BE,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,recrent,Recrent,39154778,567681,24683,9845,3460,6904,383601,PUBG: BATTLEGROUNDS,https://static-cdn.jtvnw.net/jtv_user_pictures/8e9ae092-d343-4f47-a65a-26ce3d2da6ab-profile_image-300x300.png,RU,ru,partner,Male,2024-12-02,2024-12-08,2024,49
